vehicle_type,level_of_loading,incline,mean_speed_kmh,temp,consumption_kwh_per_km
0,0,0,30,-5,1.628
0,0,0,30,5,1.331
0,0,0,30,15,1.062
0,0,0,30,25,0.977
0,0,0,30,35,1.137
0,0,0,37.1,-15,1.76
0,0,0,37.1,-5,1.484
0,0,0,37.1,5,1.232
0,0,0,37.1,15,1.006
0,0,0,37.1,25,0.932
0,0,0,37.1,35,1.062
0,0,0.01,12.1,-15,4.742
0,0,0.01,12.1,-5,3.597
0,0,0.01,12.1,5,2.618
0,0,0.01,12.1,15,1.808
0,0,0.01,12.1,25,1.592
0,0,0.01,12.1,35,2.087
0,0,0.01,18,-15,3.497
0,0,0.01,18,-5,2.777
0,0,0.01,18,5,2.154
0,0,0.01,18,15,1.628
0,0,0.01,18,25,1.482
0,0,0.01,18,35,1.8
0,0,0.01,25.2,-15,2.602
0,0,0.01,25.2,-5,2.207
0,0,0.01,25.2,5,1.849
0,0,0.01,25.2,15,1.528
0,0,0.01,25.2,25,1.429
0,0,0.01,25.2,35,1.624
0,0,0.01,30,-15,2.364
0,0,0.01,30,-5,2.039
0,0,0.01,30,5,1.743
0,0,0.01,30,15,1.474
0,0,0.01,30,25,1.388
0,0,0.01,30,35,1.548
0,0,0.01,37.1,-15,2.183
0,0,0.01,37.1,-5,1.907
0,0,0.01,37.1,5,1.655
0,0,0.01,37.1,15,1.428
0,0,0.01,37.1,25,1.354
0,0,0.01,37.1,35,1.484
0,0,0.02,12.1,-15,5.128
0,0,0.02,12.1,-5,3.983
0,0,0.02,12.1,5,3.005
0,0,0.02,12.1,15,2.194
0,0,0.02,12.1,25,1.978
0,0,0.02,12.1,35,2.473
0,0,0.02,18,-15,3.895
0,0,0.02,18,-5,3.175
0,0,0.02,18,5,2.551
0,0,0.02,18,15,2.026
0,0,0.02,18,25,1.88
0,0,0.02,18,35,2.198
0,0,0.02,25.2,-15,3.003
0,0,0.02,25.2,-5,2.608
0,0,0.02,25.2,5,2.25
0,0,0.02,25.2,15,1.928
0,0,0.02,25.2,25,1.83
0,0,0.02,25.2,35,2.025
0,0,0.02,30,-15,2.775
0,0,0.02,30,-5,2.451
0,0,0.02,30,5,2.154
0,0,0.02,30,15,1.885
0,0,0.02,30,25,1.8
0,0,0.02,30,35,1.96
0,0,0.02,37.1,-15,2.606
0,0,0.02,37.1,-5,2.329
0,0,0.02,37.1,5,2.078
0,0,0.02,37.1,15,1.851
0,0,0.02,37.1,25,1.777
0,0,0.02,37.1,35,1.907
0,0,0.03,12.1,-15,5.514
0,0,0.03,12.1,-5,4.37
0,0,0.03,12.1,5,3.391
0,0,0.03,12.1,15,2.58
0,0,0.03,12.1,25,2.364
0,0,0.03,12.1,35,2.859
0,0,0.03,18,-15,4.293
0,0,0.03,18,-5,3.573
0,0,0.03,18,5,2.949
0,0,0.03,18,15,2.424
0,0,0.03,18,25,2.278
0,0,0.03,18,35,2.596
0,0,0.03,25.2,-15,3.405
0,0,0.03,25.2,-5,3.01
0,0,0.03,25.2,5,2.652
0,0,0.03,25.2,15,2.33
0,0,0.03,25.2,25,2.231
0,0,0.03,25.2,35,2.427
0,0,0.03,30,-15,3.187
0,0,0.03,30,-5,2.862
0,0,0.03,30,5,2.566
0,0,0.03,30,15,2.297
0,0,0.03,30,25,2.211
0,0,0.03,30,35,2.371
0,0,0.03,37.1,-15,3.028
0,0,0.03,37.1,-5,2.752
0,0,0.03,37.1,5,2.5
0,0,0.03,37.1,15,2.274
0,0,0.03,37.1,25,2.2
0,0,0.03,37.1,35,2.329
0,0,0.04,12.1,-15,5.9
0,0,0.04,12.1,-5,4.756
0,0,0.04,12.1,5,3.777
0,0,0.04,12.1,15,2.966
0,0,0.04,12.1,25,2.75
0,0,0.04,12.1,35,3.245
0,0,0.04,18,-15,4.691
0,0,0.04,18,-5,3.971
0,0,0.04,18,5,3.347
0,0,0.04,18,15,2.821
0,0,0.04,18,25,2.676
0,0,0.04,18,35,2.994
0,0,0.04,25.2,-15,3.806
0,0,0.04,25.2,-5,3.411
0,0,0.04,25.2,5,3.053
0,0,0.04,25.2,15,2.732
0,0,0.04,25.2,25,2.633
0,0,0.04,25.2,35,2.828
0,0,0.04,30,-15,3.599
0,0,0.04,30,-5,3.274
0,0,0.04,30,5,2.977
0,0,0.04,30,15,2.709
0,0,0.04,30,25,2.623
0,0,0.04,30,35,2.783
0,0,0.04,37.1,-15,3.451
0,0,0.04,37.1,-5,3.175
0,0,0.04,37.1,5,2.923
0,0,0.04,37.1,15,2.696
0,0,0.04,37.1,25,2.623
0,0,0.04,37.1,35,2.752
0,0.3,-0.04,12.1,-15,2.648
0,0.3,-0.04,12.1,-5,1.504
0,0.3,-0.04,12.1,5,0.526
0,0.3,-0.04,12.1,15,-0.284
0,0.3,-0.04,12.1,25,-0.177
0,0.3,-0.04,12.1,35,0.373
0,0.3,-0.04,18,-15,1.4
0,0.3,-0.04,18,-5,0.682
0,0.3,-0.04,18,5,0.059
0,0.3,-0.04,18,15,-0.466
0,0.3,-0.04,18,25,-0.393
0,0.3,-0.04,18,35,-0.036
0,0.3,-0.04,25.2,-15,0.505
0,0.3,-0.04,25.2,-5,0.111
0,0.3,-0.04,25.2,5,-0.246
0,0.3,-0.04,25.2,15,-0.566
0,0.3,-0.04,25.2,25,-0.508
0,0.3,-0.04,25.2,35,-0.285
0,0.3,-0.04,30,-15,0.268
0,0.3,-0.04,30,-5,-0.054
0,0.3,-0.04,30,5,-0.349
0,0.3,-0.04,30,15,-0.616
0,0.3,-0.04,30,25,-0.569
0,0.3,-0.04,30,35,-0.385
0,0.3,-0.04,37.1,-15,0.085
0,0.3,-0.04,37.1,-5,-0.189
0,0.3,-0.04,37.1,5,-0.437
0,0.3,-0.04,37.1,15,-0.661
0,0.3,-0.04,37.1,25,-0.627
0,0.3,-0.04,37.1,35,-0.477
0,0.3,-0.03,12.1,-15,3.025
0,0.3,-0.03,12.1,-5,1.881
0,0.3,-0.03,12.1,5,0.902
0,0.3,-0.03,12.1,15,0.092
0,0.3,-0.03,12.1,25,0.2
0,0.3,-0.03,12.1,35,0.75
0,0.3,-0.03,18,-15,1.786
0,0.3,-0.03,18,-5,1.067
0,0.3,-0.03,18,5,0.444
0,0.3,-0.03,18,15,-0.08
0,0.3,-0.03,18,25,-0.007
0,0.3,-0.03,18,35,0.349
0,0.3,-0.03,25.2,-15,0.901
0,0.3,-0.03,25.2,-5,0.507
0,0.3,-0.03,25.2,5,0.151
0,0.3,-0.03,25.2,15,-0.17
0,0.3,-0.03,25.2,25,-0.112
0,0.3,-0.03,25.2,35,0.111
0,0.3,-0.03,30,-15,0.651
0,0.3,-0.03,30,-5,0.329
0,0.3,-0.03,30,5,0.034
0,0.3,-0.03,30,15,-0.233
0,0.3,-0.03,30,25,-0.186
0,0.3,-0.03,30,35,-0.002
0,0.3,-0.03,37.1,-15,0.455
0,0.3,-0.03,37.1,-5,0.181
0,0.3,-0.03,37.1,5,-0.067
0,0.3,-0.03,37.1,15,-0.292
0,0.3,-0.03,37.1,25,-0.257
0,0.3,-0.03,37.1,35,-0.107
0,0.3,-0.02,12.1,-15,3.402
0,0.3,-0.02,12.1,-5,2.257
0,0.3,-0.02,12.1,5,1.279
0,0.3,-0.02,12.1,15,0.469
0,0.3,-0.02,12.1,25,0.577
0,0.3,-0.02,12.1,35,1.127
0,0.3,-0.02,18,-15,2.171
0,0.3,-0.02,18,-5,1.452
0,0.3,-0.02,18,5,0.83
0,0.3,-0.02,18,15,0.305
0,0.3,-0.02,18,25,0.378
0,0.3,-0.02,18,35,0.735
0,0.3,-0.02,25.2,-15,1.298
0,0.3,-0.02,25.2,-5,0.904
0,0.3,-0.02,25.2,5,0.548
0,0.3,-0.02,25.2,15,0.227
0,0.3,-0.02,25.2,25,0.285
0,0.3,-0.02,25.2,35,0.508
0,0.3,-0.02,30,-15,1.035
0,0.3,-0.02,30,-5,0.713
0,0.3,-0.02,30,5,0.418
0,0.3,-0.02,30,15,0.151
0,0.3,-0.02,30,25,0.198
0,0.3,-0.02,30,35,0.382
0,0.3,-0.02,37.1,-15,0.825
0,0.3,-0.02,37.1,-5,0.551
0,0.3,-0.02,37.1,5,0.303
0,0.3,-0.02,37.1,15,0.078
0,0.3,-0.02,37.1,25,0.113
0,0.3,-0.02,37.1,35,0.263
0,0.3,-0.01,12.1,-15,3.79
0,0.3,-0.01,12.1,-5,2.646
0,0.3,-0.01,12.1,5,1.667
0,0.3,-0.01,12.1,15,0.856
0,0.3,-0.01,12.1,25,0.964
0,0.3,-0.01,12.1,35,1.514
0,0.3,-0.01,18,-15,2.587
0,0.3,-0.01,18,-5,1.867
0,0.3,-0.01,18,5,1.243
0,0.3,-0.01,18,15,0.717
0,0.3,-0.01,18,25,0.79
0,0.3,-0.01,18,35,1.145
0,0.3,-0.01,25.2,-15,1.728
0,0.3,-0.01,25.2,-5,1.333
0,0.3,-0.01,25.2,5,0.975
0,0.3,-0.01,25.2,15,0.653
0,0.3,-0.01,25.2,25,0.71
0,0.3,-0.01,25.2,35,0.932
0,0.3,-0.01,30,-15,1.475
0,0.3,-0.01,30,-5,1.151
0,0.3,-0.01,30,5,0.854
0,0.3,-0.01,30,15,0.585
0,0.3,-0.01,30,25,0.63
0,0.3,-0.01,30,35,0.813
0,0.3,-0.01,37.1,-15,1.278
0,0.3,-0.01,37.1,-5,1.002
0,0.3,-0.01,37.1,5,0.75
0,0.3,-0.01,37.1,15,0.523
0,0.3,-0.01,37.1,25,0.555
0,0.3,-0.01,37.1,35,0.703
0,0.3,0,12.1,-15,4.23
0,0.3,0,12.1,-5,3.086
0,0.3,0,12.1,5,2.107
0,0.3,0,12.1,15,1.296
0,0.3,0,12.1,25,1.404
0,0.3,0,12.1,35,1.953
0,0.3,0,18,-15,3.04
0,0.3,0,18,-5,2.32
0,0.3,0,18,5,1.696
0,0.3,0,18,15,1.17
0,0.3,0,18,25,1.243
0,0.3,0,18,35,1.598
0,0.3,0,25.2,-15,2.185
0,0.3,0,25.2,-5,1.79
0,0.3,0,25.2,5,1.432
0,0.3,0,25.2,15,1.11
0,0.3,0,25.2,25,1.167
0,0.3,0,25.2,35,1.389
0,0.3,0,30,-15,1.944
0,0.3,0,30,-5,1.619
0,0.3,0,30,5,1.323
0,0.3,0,30,15,1.054
0,0.3,0,30,25,1.099
0,0.3,0,30,35,1.282
0,0.3,0,37.1,-15,1.759
0,0.3,0,37.1,-5,1.483
0,0.3,0,37.1,5,1.232
0,0.3,0,37.1,15,1.005
0,0.3,0,37.1,25,1.037
0,0.3,0,37.1,35,1.184
0,0.3,0.01,12.1,-15,4.67
0,0.3,0.01,12.1,-5,3.526
0,0.3,0.01,12.1,5,2.547
0,0.3,0.01,12.1,15,1.737
0,0.3,0.01,12.1,25,1.844
0,0.3,0.01,12.1,35,2.394
0,0.3,0.01,18,-15,3.494
0,0.3,0.01,18,-5,2.773
0,0.3,0.01,18,5,2.15
0,0.3,0.01,18,15,1.624
0,0.3,0.01,18,25,1.696
0,0.3,0.01,18,35,2.052
0,0.3,0.01,25.2,-15,2.642
0,0.3,0.01,25.2,-5,2.247
0,0.3,0.01,25.2,5,1.889
0,0.3,0.01,25.2,15,1.567
0,0.3,0.01,25.2,25,1.624
0,0.3,0.01,25.2,35,1.846
0,0.3,0.01,30,-15,2.413
0,0.3,0.01,30,-5,2.089
0,0.3,0.01,30,5,1.792
0,0.3,0.01,30,15,1.523
0,0.3,0.01,30,25,1.568
0,0.3,0.01,30,35,1.751
0,0.3,0.01,37.1,-15,2.241
0,0.3,0.01,37.1,-5,1.965
0,0.3,0.01,37.1,5,1.713
0,0.3,0.01,37.1,15,1.487
0,0.3,0.01,37.1,25,1.518
0,0.3,0.01,37.1,35,1.666
0,0.3,0.02,12.1,-15,5.111
0,0.3,0.02,12.1,-5,3.966
0,0.3,0.02,12.1,5,2.987
0,0.3,0.02,12.1,15,2.177
0,0.3,0.02,12.1,25,2.284
0,0.3,0.02,12.1,35,2.834
0,0.3,0.02,18,-15,3.947
0,0.3,0.02,18,-5,3.227
0,0.3,0.02,18,5,2.604
0,0.3,0.02,18,15,2.078
0,0.3,0.02,18,25,2.15
0,0.3,0.02,18,35,2.506
0,0.3,0.02,25.2,-15,3.099
0,0.3,0.02,25.2,-5,2.704
0,0.3,0.02,25.2,5,2.346
0,0.3,0.02,25.2,15,2.024
0,0.3,0.02,25.2,25,2.081
0,0.3,0.02,25.2,35,2.303
0,0.3,0.02,30,-15,2.882
0,0.3,0.02,30,-5,2.558
0,0.3,0.02,30,5,2.261
0,0.3,0.02,30,15,1.992
0,0.3,0.02,30,25,2.037
0,0.3,0.02,30,35,2.22
0,0.3,0.02,37.1,-15,2.723
0,0.3,0.02,37.1,-5,2.447
0,0.3,0.02,37.1,5,2.195
0,0.3,0.02,37.1,15,1.969
0,0.3,0.02,37.1,25,2.001
0,0.3,0.02,37.1,35,2.148
0,0.3,0.03,12.1,-15,5.551
0,0.3,0.03,12.1,-5,4.406
0,0.3,0.03,12.1,5,3.428
0,0.3,0.03,12.1,15,2.617
0,0.3,0.03,12.1,25,2.724
0,0.3,0.03,12.1,35,3.274
0,0.3,0.03,18,-15,4.401
0,0.3,0.03,18,-5,3.681
0,0.3,0.03,18,5,3.057
0,0.3,0.03,18,15,2.532
0,0.3,0.03,18,25,2.604
0,0.3,0.03,18,35,2.96
0,0.3,0.03,25.2,-15,3.557
0,0.3,0.03,25.2,-5,3.162
0,0.3,0.03,25.2,5,2.804
0,0.3,0.03,25.2,15,2.482
0,0.3,0.03,25.2,25,2.539
0,0.3,0.03,25.2,35,2.761
0,0.3,0.03,30,-15,3.352
0,0.3,0.03,30,-5,3.027
0,0.3,0.03,30,5,2.73
0,0.3,0.03,30,15,2.462
0,0.3,0.03,30,25,2.507
0,0.3,0.03,30,35,2.689
0,0.3,0.03,37.1,-15,3.205
0,0.3,0.03,37.1,-5,2.929
0,0.3,0.03,37.1,5,2.677
0,0.3,0.03,37.1,15,2.451
0,0.3,0.03,37.1,25,2.483
0,0.3,0.03,37.1,35,2.63
0,0.3,0.04,12.1,-15,5.991
0,0.3,0.04,12.1,-5,4.847
0,0.3,0.04,12.1,5,3.868
0,0.3,0.04,12.1,15,3.057
0,0.3,0.04,12.1,25,3.165
0,0.3,0.04,12.1,35,3.714
0,0.3,0.04,18,-15,4.855
0,0.3,0.04,18,-5,4.135
0,0.3,0.04,18,5,3.511
0,0.3,0.04,18,15,2.985
0,0.3,0.04,18,25,3.057
0,0.3,0.04,18,35,3.413
0,0.3,0.04,25.2,-15,4.015
0,0.3,0.04,25.2,-5,3.62
0,0.3,0.04,25.2,5,3.262
0,0.3,0.04,25.2,15,2.94
0,0.3,0.04,25.2,25,2.997
0,0.3,0.04,25.2,35,3.219
0,0.3,0.04,30,-15,3.821
0,0.3,0.04,30,-5,3.497
0,0.3,0.04,30,5,3.2
0,0.3,0.04,30,15,2.931
0,0.3,0.04,30,25,2.977
0,0.3,0.04,30,35,3.159
0,0.3,0.04,37.1,-15,3.687
0,0.3,0.04,37.1,-5,3.411
0,0.3,0.04,37.1,5,3.159
0,0.3,0.04,37.1,15,2.933
0,0.3,0.04,37.1,25,2.965
0,0.3,0.04,37.1,35,3.112
0,0.6,-0.04,12.1,-15,2.329
0,0.6,-0.04,12.1,-5,1.185
0,0.6,-0.04,12.1,5,0.207
0,0.6,-0.04,12.1,15,-0.413
0,0.6,-0.04,12.1,25,-0.173
0,0.6,-0.04,12.1,35,0.433
0,0.6,-0.04,18,-15,1.143
0,0.6,-0.04,18,-5,0.424
0,0.6,-0.04,18,5,-0.198
0,0.6,-0.04,18,15,-0.594
0,0.6,-0.04,18,25,-0.432
0,0.6,-0.04,18,35,-0.038
0,0.6,-0.04,25.2,-15,0.286
0,0.6,-0.04,25.2,-5,-0.108
0,0.6,-0.04,25.2,5,-0.465
0,0.6,-0.04,25.2,15,-0.689
0,0.6,-0.04,25.2,25,-0.572
0,0.6,-0.04,25.2,35,-0.322
0,0.6,-0.04,30,-15,0.061
0,0.6,-0.04,30,-5,-0.262
0,0.6,-0.04,30,5,-0.556
0,0.6,-0.04,30,15,-0.743
0,0.6,-0.04,30,25,-0.646
0,0.6,-0.04,30,35,-0.439
0,0.6,-0.04,37.1,-15,-0.112
0,0.6,-0.04,37.1,-5,-0.385
0,0.6,-0.04,37.1,5,-0.634
0,0.6,-0.04,37.1,15,-0.795
0,0.6,-0.04,37.1,25,-0.718
0,0.6,-0.04,37.1,35,-0.55
0,0.6,-0.03,12.1,-15,2.752
0,0.6,-0.03,12.1,-5,1.608
0,0.6,-0.03,12.1,5,0.63
0,0.6,-0.03,12.1,15,0.01
0,0.6,-0.03,12.1,25,0.251
0,0.6,-0.03,12.1,35,0.856
0,0.6,-0.03,18,-15,1.576
0,0.6,-0.03,18,-5,0.857
0,0.6,-0.03,18,5,0.234
0,0.6,-0.03,18,15,-0.162
0,0.6,-0.03,18,25,0.001
0,0.6,-0.03,18,35,0.395
0,0.6,-0.03,25.2,-15,0.731
0,0.6,-0.03,25.2,-5,0.337
0,0.6,-0.03,25.2,5,-0.02
0,0.6,-0.03,25.2,15,-0.244
0,0.6,-0.03,25.2,25,-0.127
0,0.6,-0.03,25.2,35,0.123
0,0.6,-0.03,30,-15,0.491
0,0.6,-0.03,30,-5,0.168
0,0.6,-0.03,30,5,-0.126
0,0.6,-0.03,30,15,-0.313
0,0.6,-0.03,30,25,-0.216
0,0.6,-0.03,30,35,-0.009
0,0.6,-0.03,37.1,-15,0.303
0,0.6,-0.03,37.1,-5,0.03
0,0.6,-0.03,37.1,5,-0.218
0,0.6,-0.03,37.1,15,-0.379
0,0.6,-0.03,37.1,25,-0.303
0,0.6,-0.03,37.1,35,-0.134
0,0.6,-0.02,12.1,-15,3.175
0,0.6,-0.02,12.1,-5,2.031
0,0.6,-0.02,12.1,5,1.053
0,0.6,-0.02,12.1,15,0.433
0,0.6,-0.02,12.1,25,0.674
0,0.6,-0.02,12.1,35,1.279
0,0.6,-0.02,18,-15,2.008
0,0.6,-0.02,18,-5,1.29
0,0.6,-0.02,18,5,0.667
0,0.6,-0.02,18,15,0.271
0,0.6,-0.02,18,25,0.434
0,0.6,-0.02,18,35,0.828
0,0.6,-0.02,25.2,-15,1.176
0,0.6,-0.02,25.2,-5,0.783
0,0.6,-0.02,25.2,5,0.426
0,0.6,-0.02,25.2,15,0.202
0,0.6,-0.02,25.2,25,0.319
0,0.6,-0.02,25.2,35,0.569
0,0.6,-0.02,30,-15,0.922
0,0.6,-0.02,30,-5,0.599
0,0.6,-0.02,30,5,0.305
0,0.6,-0.02,30,15,0.118
0,0.6,-0.02,30,25,0.215
0,0.6,-0.02,30,35,0.422
0,0.6,-0.02,37.1,-15,0.719
0,0.6,-0.02,37.1,-5,0.446
0,0.6,-0.02,37.1,5,0.197
0,0.6,-0.02,37.1,15,0.036
0,0.6,-0.02,37.1,25,0.113
0,0.6,-0.02,37.1,35,0.281
0,0.6,-0.01,12.1,-15,3.611
0,0.6,-0.01,12.1,-5,2.466
0,0.6,-0.01,12.1,5,1.487
0,0.6,-0.01,12.1,15,0.867
0,0.6,-0.01,12.1,25,1.107
0,0.6,-0.01,12.1,35,1.713
0,0.6,-0.01,18,-15,2.472
0,0.6,-0.01,18,-5,1.751
0,0.6,-0.01,18,5,1.128
0,0.6,-0.01,18,15,0.731
0,0.6,-0.01,18,25,0.893
0,0.6,-0.01,18,35,1.286
0,0.6,-0.01,25.2,-15,1.655
0,0.6,-0.01,25.2,-5,1.26
0,0.6,-0.01,25.2,5,0.902
0,0.6,-0.01,25.2,15,0.677
0,0.6,-0.01,25.2,25,0.793
0,0.6,-0.01,25.2,35,1.042
0,0.6,-0.01,30,-15,1.409
0,0.6,-0.01,30,-5,1.085
0,0.6,-0.01,30,5,0.788
0,0.6,-0.01,30,15,0.599
0,0.6,-0.01,30,25,0.695
0,0.6,-0.01,30,35,0.9
0,0.6,-0.01,37.1,-15,1.218
0,0.6,-0.01,37.1,-5,0.941
0,0.6,-0.01,37.1,5,0.69
0,0.6,-0.01,37.1,15,0.526
0,0.6,-0.01,37.1,25,0.601
0,0.6,-0.01,37.1,35,0.767
0,0.6,0,12.1,-15,4.104
0,0.6,0,12.1,-5,2.96
0,0.6,0,12.1,5,1.981
0,0.6,0,12.1,15,1.36
0,0.6,0,12.1,25,1.601
0,0.6,0,12.1,35,2.206
0,0.6,0,18,-15,2.98
0,0.6,0,18,-5,2.26
0,0.6,0,18,5,1.637
0,0.6,0,18,15,1.24
0,0.6,0,18,25,1.401
0,0.6,0,18,35,1.794
0,0.6,0,25.2,-15,2.168
0,0.6,0,25.2,-5,1.773
0,0.6,0,25.2,5,1.415
0,0.6,0,25.2,15,1.19
0,0.6,0,25.2,25,1.306
0,0.6,0,25.2,35,1.555
0,0.6,0,30,-15,1.936
0,0.6,0,30,-5,1.611
0,0.6,0,30,5,1.314
0,0.6,0,30,15,1.126
0,0.6,0,30,25,1.222
0,0.6,0,30,35,1.426
0,0.6,0,37.1,-15,1.759
0,0.6,0,37.1,-5,1.482
0,0.6,0,37.1,5,1.231
0,0.6,0,37.1,15,1.067
0,0.6,0,37.1,25,1.141
0,0.6,0,37.1,35,1.307
0,0.6,0.01,12.1,-15,4.599
0,0.6,0.01,12.1,-5,3.454
0,0.6,0.01,12.1,5,2.476
0,0.6,0.01,12.1,15,1.855
0,0.6,0.01,12.1,25,2.096
0,0.6,0.01,12.1,35,2.701
0,0.6,0.01,18,-15,3.49
0,0.6,0.01,18,-5,2.77
0,0.6,0.01,18,5,2.146
0,0.6,0.01,18,15,1.749
0,0.6,0.01,18,25,1.911
0,0.6,0.01,18,35,2.304
0,0.6,0.01,25.2,-15,2.681
0,0.6,0.01,25.2,-5,2.287
0,0.6,0.01,25.2,5,1.928
0,0.6,0.01,25.2,15,1.703
0,0.6,0.01,25.2,25,1.819
0,0.6,0.01,25.2,35,2.068
0,0.6,0.01,30,-15,2.463
0,0.6,0.01,30,-5,2.138
0,0.6,0.01,30,5,1.841
0,0.6,0.01,30,15,1.653
0,0.6,0.01,30,25,1.748
0,0.6,0.01,30,35,1.953
0,0.6,0.01,37.1,-15,2.3
0,0.6,0.01,37.1,-5,2.023
0,0.6,0.01,37.1,5,1.772
0,0.6,0.01,37.1,15,1.608
0,0.6,0.01,37.1,25,1.683
0,0.6,0.01,37.1,35,1.848
0,0.6,0.02,12.1,-15,5.093
0,0.6,0.02,12.1,-5,3.949
0,0.6,0.02,12.1,5,2.97
0,0.6,0.02,12.1,15,2.349
0,0.6,0.02,12.1,25,2.59
0,0.6,0.02,12.1,35,3.195
